_oddsCount,i,PayoutSum,Description,MinPayout,MaxPayout
1,0,180,Wild,0,100
2,0,180,Wild,0,100
3,0,180,Wild,0,100
4,0,180,Wild,0,100
5,0,180,Wild,0,100
6,0,180,Wild,0,100
7,0,180,Wild,0,100
8,0,180,Wild,0,100
9,0,180,Wild,0,100
10,0,180,Wild,0,100
11,0,180,Wild,0,100
12,0,180,Wild,0,100
13,0,180,Wild,0,100
14,0,180,Wild,0,100
15,0,180,Wild,0,100
16,0,180,Wild,0,100
17,0,180,Wild,0,100
18,0,180,Wild,0,100
19,0,180,Wild,0,100
20,0,180,Wild,0,100
21,0,180,Wild,0,100
22,0,180,Wild,0,100
23,0,180,Wild,0,100
24,0,180,Wild,0,100
25,0,180,Wild,0,100
26,0,180,Wild,0,100
27,0,180,Wild,0,100
28,0,180,Wild,0,100
29,0,180,Wild,0,100
30,0,180,Wild,0,100
31,0,180,Wild,0,100
32,0,180,Wild,0,100
33,0,180,Wild,0,100
34,0,180,Wild,0,100
35,0,180,Wild,0,100
36,0,180,Wild,0,100
37,0,180,Wild,0,100
38,0,180,Wild,0,100
39,0,180,Wild,0,100
40,0,180,Wild,0,100
41,0,180,Wild,0,100
42,0,180,Wild,0,100
43,0,180,Wild,0,100
44,0,180,Wild,0,100
45,0,180,Wild,0,100
46,0,180,Wild,0,100
47,0,180,Wild,0,100
48,0,180,Wild,0,100
49,0,180,Wild,0,100
50,1,13,Normal,0,7
51,1,13,Normal,0,7
52,1,13,Normal,0,7
53,1,13,Normal,0,7
54,1,13,Normal,0,7
55,1,13,Normal,0,7
56,1,13,Normal,0,7
57,1,13,Normal,0,7
58,1,13,Normal,0,7
59,1,13,Normal,0,7
60,1,13,Normal,0,7
61,1,13,Normal,0,7
62,1,13,Normal,0,7
63,1,13,Normal,0,7
64,1,13,Normal,0,7
65,1,13,Normal,0,7
66,1,13,Normal,0,7
67,1,13,Normal,0,7
68,1,13,Normal,0,7
69,1,13,Normal,0,7
70,1,13,Normal,0,7
71,1,13,Normal,0,7
72,1,13,Normal,0,7
73,1,13,Normal,0,7
74,1,13,Normal,0,7
75,1,13,Normal,0,7
76,1,13,Normal,0,7
77,1,13,Normal,0,7
78,1,13,Normal,0,7
79,1,13,Normal,0,7
80,1,13,Normal,0,7
81,1,13,Normal,0,7
82,1,13,Normal,0,7
83,1,13,Normal,0,7
84,1,13,Normal,0,7
85,1,13,Normal,0,7
86,1,13,Normal,0,7
87,1,13,Normal,0,7
88,1,13,Normal,0,7
89,1,13,Normal,0,7
90,1,13,Normal,0,7
91,1,13,Normal,0,7
92,1,13,Normal,0,7
93,1,13,Normal,0,7
94,1,13,Normal,0,7
95,1,13,Normal,0,7
96,1,13,Normal,0,7
97,1,13,Normal,0,7
98,1,13,Normal,0,7
99,1,13,Normal,0,7
100,1,13,Normal,0,7
101,1,13,Normal,0,7
102,1,13,Normal,0,7
103,1,13,Normal,0,7
104,1,13,Normal,0,7
105,1,13,Normal,0,7
106,1,13,Normal,0,7
107,1,13,Normal,0,7
108,1,13,Normal,0,7
109,1,13,Normal,0,7
110,1,13,Normal,0,7
111,1,13,Normal,0,7
112,1,13,Normal,0,7
113,1,13,Normal,0,7
114,1,13,Normal,0,7
115,1,13,Normal,0,7
116,1,13,Normal,0,7
117,1,13,Normal,0,7
118,1,13,Normal,0,7
119,1,13,Normal,0,7
120,1,13,Normal,0,7
121,1,13,Normal,0,7
122,1,13,Normal,0,7
123,1,13,Normal,0,7
124,1,13,Normal,0,7
125,1,13,Normal,0,7
126,1,13,Normal,0,7
127,1,13,Normal,0,7
128,1,13,Normal,0,7
129,1,13,Normal,0,7
130,1,13,Normal,0,7
131,1,13,Normal,0,7
132,1,13,Normal,0,7
133,1,13,Normal,0,7
134,1,13,Normal,0,7
135,1,13,Normal,0,7
136,1,13,Normal,0,7
